,15,22,23,25,27
2016-02-01,3.0,0.244,2.0,0.004,0.9059999999999999
2016-02-02,0.0,0.1,0.001,0.6439999999999999,8.0
2016-02-03,5.0,0.49,0.001,1.046,0.302
2016-02-04,1.0,0.42,0.43,0.306,0.001
2016-02-05,0.0,0.28600000000000003,0.002,2.083,0.23600000000000002
2016-02-06,3.0,0.254,1.0,1.046,0.134
2016-02-07,0.0,0.306,0.001,0.02,0.002
2016-02-08,0.0,0.47200000000000003,0.43,0.0,0.1
2016-02-09,0.0,0.001,0.45,0.007,0.001
2016-02-10,0.0,0.5880000000000001,0.44799999999999995,0.004,0.242
2016-02-11,0.0,1.242,0.002,2.0,0.41
2016-02-12,0.0,0.336,0.002,2.0,0.006
2016-02-13,0.0,0.17,0.001,2.105,0.003
2016-02-14,0.0,0.005,0.002,8.42,21.0
2016-02-15,0.0,0.49200000000000005,0.001,0.6,0.003
2016-02-16,0.0,0.23199999999999998,0.001,2.105,12.0
2016-02-17,0.0,0.16399999999999998,0.002,2.0,6.0
2016-02-18,0.0,0.298,0.001,0.136,0.014000000000000002
2016-02-19,0.0,0.254,0.264,4.0,0.258
2016-02-20,1.0,0.132,0.46,2.105,0.564
2016-02-21,0.0,0.91,0.001,0.81,0.322
2016-02-22,1.0,0.21,0.326,0.001,0.008
2016-02-23,0.0,0.858,0.312,0.002,0.8159999999999998
2016-02-24,0.0,0.11599999999999999,1.0,0.8799999999999999,1.3330000000000002
2016-02-25,0.0,0.698,0.21,0.0,0.27
2016-02-26,0.0,0.5,0.368,0.18,0.672
2016-02-27,1.0,0.196,0.354,0.004,0.005
2016-02-28,0.0,0.3,0.332,0.506,1.3330000000000002
2016-02-29,0.0,0.924,0.254,4.0,0.002
2016-03-01,0.0,0.38799999999999996,0.292,4.0,0.003
2016-03-02,0.0,0.43799999999999994,0.001,2.0,0.002
2016-03-03,0.0,0.34600000000000003,12.0,0.004,0.001
2016-03-04,0.0,0.45399999999999996,0.001,2.083,1.3330000000000002
2016-03-05,0.0,0.055999999999999994,0.001,6.0,0.422
2016-03-06,0.0,0.684,1.0,0.004,0.28
2016-03-07,0.0,0.20800000000000002,0.002,0.0,0.0
2016-03-08,0.0,0.35600000000000004,0.102,0.8240000000000001,12.0
2016-03-09,0.0,0.23199999999999998,20.0,0.02,0.552
2016-03-10,0.0,0.146,1.0,2.0,36.0
2016-03-11,1.0,0.11,0.37200000000000005,0.0,2.5
2016-03-12,0.0,4.338,0.003,10.0,12.0
2016-03-13,0.0,0.08199999999999999,0.002,2.105,0.46
2016-03-14,0.0,0.45,0.002,2.0,0.001
2016-03-15,0.0,0.126,0.002,3.0,1.0
2016-03-16,1.0,0.35200000000000004,0.001,0.268,0.001
2016-03-17,0.0,0.98,0.254,3.0,0.006
2016-03-18,0.0,0.038,0.001,2.083,0.002
2016-03-19,1.0,0.16399999999999998,0.142,2.105,0.256
2016-03-20,0.0,0.092,0.001,0.024,0.001
2016-03-21,0.0,0.19,1.0,2.0,12.0
2016-03-22,0.0,1.05,0.003,0.004,12.0
2016-03-23,0.0,0.302,1.0,2.0,12.0
2016-03-24,0.0,0.13,1.0,8.0,0.001
2016-03-25,0.0,0.19,0.22399999999999998,0.16,0.008
2016-03-26,1.0,1.006,0.002,0.002,0.29
2016-03-27,0.0,0.184,0.002,2.083,0.002
2016-03-28,0.0,0.126,0.001,4.0,0.2
2016-03-29,0.0,0.6559999999999999,0.35,16.0,1.0
2016-03-30,0.0,1.342,0.001,0.0,0.89
2016-03-31,0.0,0.44799999999999995,0.002,0.48200000000000004,0.001
2016-04-01,2.0,0.7040000000000001,1.0,0.005,0.15
2016-04-02,0.0,1.024,0.304,0.2,0.281
2016-04-03,2.0,0.064,0.252,0.004,2.0
2016-04-04,1.0,0.33799999999999997,0.24,2.105,0.26
2016-04-05,0.0,0.086,0.002,28.0,17.0
2016-04-06,0.0,0.56,0.001,0.23399999999999999,12.0
2016-04-07,0.0,0.302,11.0,0.004,3.9990000000000006
2016-04-08,0.0,0.094,1.0,2.0,0.006
2016-04-09,0.0,1.4780000000000002,1.0,5.0,24.0
2016-04-10,0.0,0.718,0.602,0.003,26.0
2016-04-11,0.0,0.8420000000000001,0.14800000000000002,2.0,7.0
2016-04-12,1.0,0.054000000000000006,0.001,2.0,1.0
2016-04-13,0.0,0.055999999999999994,0.001,0.001,1.375
2016-04-14,0.0,0.9,0.262,4.0,0.001
2016-04-15,1.0,0.568,1.0,32.292,5.0
2016-04-16,2.0,0.374,0.308,0.011,0.261
2016-04-17,1.0,0.066,0.254,0.504,0.596
2016-04-18,0.0,0.278,0.384,4.0,12.0
2016-04-19,1.0,0.46799999999999997,0.001,0.005,12.0
2016-04-20,0.0,0.36,0.8340000000000001,0.001,0.11599999999999999
2016-04-21,0.0,0.61,0.43,0.015,0.612
2016-04-22,0.0,0.36,0.002,2.0,0.001
2016-04-23,1.0,3.754,0.496,0.002,1.0
2016-04-24,0.0,0.168,0.002,3.0,0.26
2016-04-25,0.0,0.88,0.456,0.006,0.001
2016-04-26,0.0,1.982,0.001,2.0,1.0
2016-04-27,0.0,0.316,0.001,0.021,5.0
2016-04-28,0.0,0.43200000000000005,0.001,0.0,12.0
2016-04-29,1.0,0.506,1.068,1.5,0.008
2016-04-30,0.0,0.364,60.0,8.0,0.002
2016-05-01,0.0,0.055999999999999994,0.5980000000000001,1.5,2.0
2016-05-02,0.0,1.47,0.001,4.0,1.0
2016-05-03,0.0,0.462,1.432,2.0,1.0
2016-05-04,1.0,0.782,0.002,0.23199999999999998,1.0
2016-05-05,0.0,0.084,0.001,6.2490000000000006,1.0
2016-05-06,1.0,1.294,1.0,24.292,5.0
2016-05-07,0.0,0.094,0.001,0.01,31.0
2016-05-08,1.0,0.06,1.65,1.046,1.0
2016-05-09,0.0,0.001,0.18600000000000003,0.41,0.522
2016-05-10,0.0,0.74,0.003,0.002,0.294
2016-05-11,1.0,0.528,0.001,3.0,2.6660000000000004
2016-05-12,0.0,0.758,0.001,0.302,0.337
2016-05-13,1.0,0.6459999999999999,0.001,0.114,0.006
2016-05-14,0.0,0.054000000000000006,0.002,0.11,1.0
2016-05-15,1.0,1.302,0.002,0.29600000000000004,0.6519999999999999
2016-05-16,1.0,0.7,0.20800000000000002,5.0,1.0
2016-05-17,0.0,0.28600000000000003,0.002,2.0,0.014
2016-05-18,0.0,0.48,0.43799999999999994,0.292,0.002
2016-05-19,0.0,0.1,0.878,4.0,1.0
2016-05-20,1.0,0.066,0.001,24.0,12.0
2016-05-21,0.0,0.08800000000000001,0.002,1.0,1.0
2016-05-22,2.0,0.092,0.272,1.5,1.0
2016-05-23,0.0,0.001,0.726,1.579,19.0
2016-05-24,1.0,0.3,0.004,0.001,0.001
2016-05-25,0.0,0.584,0.17600000000000002,2.0,1.0
2016-05-26,1.0,0.08,0.001,0.008,0.262
2016-05-27,1.0,0.136,0.262,2.0,2.0
2016-05-28,1.0,0.8140000000000001,0.8800000000000001,1.046,0.212
2016-05-29,0.0,0.5640000000000001,0.46399999999999997,2.0,0.018000000000000002
2016-05-30,0.0,0.23800000000000002,0.001,0.002,1.0
2016-05-31,0.0,0.706,0.23,0.4,12.0
2016-06-01,0.0,0.972,23.0,10.0,12.0
2016-06-02,0.0,0.006999999999999999,0.002,0.4,12.0
2016-06-03,0.0,0.526,0.001,0.306,1.0
2016-06-04,1.0,1.224,1.0619999999999998,24.0,12.0
2016-06-05,1.0,0.82,0.344,2.0,0.27
2016-06-06,0.0,2.028,0.6120000000000001,1.5,0.7140000000000001
2016-06-07,1.0,0.9620000000000001,0.001,0.004,1.0
2016-06-08,1.0,0.248,0.001,0.282,0.001
2016-06-09,0.0,0.794,0.001,0.214,0.001
2016-06-10,1.0,0.33,1.0,1.046,0.012
2016-06-11,0.0,0.9279999999999999,0.166,0.001,2.6660000000000004
2016-06-12,0.0,0.212,1.0,2.0,0.48
2016-06-13,0.0,0.11199999999999999,10.0,2.0,12.0
2016-06-14,0.0,1.16,0.001,24.0,1.0
2016-06-15,0.0,0.854,0.001,0.0,0.23
2016-06-16,1.0,0.39399999999999996,0.326,16.0,12.0
2016-06-17,0.0,4.609999999999999,0.276,0.001,0.006999999999999999
2016-06-18,0.0,0.7440000000000001,0.714,0.282,0.24
2016-06-19,1.0,2.752,0.184,1.046,0.003
2016-06-20,0.0,0.068,0.001,2.0,0.001
2016-06-21,2.0,0.452,0.002,0.582,0.008
2016-06-22,1.0,0.868,0.306,0.002,2.0
2016-06-23,0.0,0.49200000000000005,0.001,0.514,0.001
2016-06-24,0.0,0.08800000000000001,0.001,4.0,1.0
2016-06-25,0.0,1.9480000000000002,0.342,0.6,0.001
2016-06-26,0.0,1.0,0.001,0.004,0.006
2016-06-27,0.0,0.132,0.002,28.0,1.0
2016-06-28,1.0,0.782,0.332,0.003,0.006
2016-06-29,0.0,0.10400000000000001,0.001,0.002,0.5579999999999999
2016-06-30,0.0,0.552,0.001,0.608,0.267
2016-07-01,0.0,0.18,0.39399999999999996,0.006,0.222
2016-07-02,0.0,1.13,1.0,0.003,0.532
2016-07-03,1.0,0.07,0.001,0.2,0.001
2016-07-04,0.0,0.326,1.0,0.19,0.001
2016-07-05,0.0,0.312,18.0,0.536,1.0
2016-07-06,0.0,0.6859999999999999,0.862,0.3,12.0
2016-07-07,0.0,0.884,0.948,0.005,0.001
2016-07-08,0.0,0.654,0.264,0.3,0.58
2016-07-09,0.0,0.388,0.001,0.518,0.013
2016-07-10,0.0,0.28800000000000003,0.001,36.0,19.0
2016-07-11,0.0,0.218,0.34,2.0,0.066
2016-07-12,0.0,0.44799999999999995,0.001,0.536,2.0
2016-07-13,1.0,0.002,0.001,2.0,1.0
2016-07-14,1.0,0.174,0.002,0.228,0.53
2016-07-15,0.0,0.626,0.022000000000000002,6.292,8.0
2016-07-16,0.0,1.25,0.022000000000000002,20.0,1.0
2016-07-17,0.0,1.274,0.466,0.015,0.012
2016-07-18,0.0,0.364,0.674,0.292,0.008
2016-07-19,0.0,0.168,0.033,0.003,0.512
2016-07-20,1.0,1.552,0.418,0.006,0.008
2016-07-21,0.0,0.662,0.001,2.0,3.0
2016-07-22,0.0,0.41200000000000003,0.012,0.17,1.0
2016-07-23,1.0,0.506,0.326,16.0,206.0
2016-07-24,1.0,0.17,0.4,4.0,0.241
2016-07-25,0.0,0.32399999999999995,0.304,0.0,0.008
2016-07-26,0.0,0.174,0.02,0.001,0.244
2016-07-27,1.0,0.326,0.001,20.0,1.0
2016-07-28,0.0,0.452,0.001,0.3,1.0
2016-07-29,0.0,0.43200000000000005,0.015,4.0,1.0
2016-07-30,0.0,1.296,0.001,2.0,1.0
2016-07-31,0.0,0.182,1.0,0.502,2.0
