sldatime,pluno,bndno,kind1,kind2,kind3,kind4,week,month,qty
2016-02-01,10000007,10062.0,10,100,1000,10000,0.0,2.0,2.0
2016-02-01,10000009,10062.0,10,100,1000,10000,0.0,2.0,2.0
2016-02-01,10001003,10064.0,10,100,1000,10001,0.0,2.0,1.0
2016-02-01,10102002,10045.0,10,101,1010,10102,0.0,2.0,1.0
2016-02-01,10103003,10706.0,10,101,1010,10103,0.0,2.0,1.0
2016-02-01,10109021,10706.0,10,101,1010,10109,0.0,2.0,1.0
2016-02-01,10112005,10045.0,10,101,1011,10112,0.0,2.0,1.0
2016-02-01,10119019,10719.0,10,101,1011,10119,0.0,2.0,6.0
2016-02-01,10119102,10719.0,10,101,1011,10119,0.0,2.0,1.0
2016-02-01,10136008,10109.0,10,101,1013,10136,0.0,2.0,1.0
2016-02-01,10150004,10211.0,10,101,1015,10150,0.0,2.0,1.0
2016-02-01,10200035,10679.0,10,102,1020,10200,0.0,2.0,1.0
2016-02-01,10201007,10123.0,10,102,1020,10201,0.0,2.0,3.0
2016-02-01,10401051,10084.0,10,104,1040,10401,0.0,2.0,2.0
2016-02-01,10421012,10133.0,10,104,1042,10421,0.0,2.0,2.0
2016-02-01,10421024,10010.0,10,104,1042,10421,0.0,2.0,1.0
2016-02-01,10440005,10012.0,10,104,1044,10440,0.0,2.0,1.0
2016-02-01,10450004,10012.0,10,104,1045,10450,0.0,2.0,1.0
2016-02-01,10454002,10706.0,10,104,1045,10454,0.0,2.0,1.0
2016-02-01,11054017,11054017.0,11,110,1105,11054,0.0,2.0,1.0
2016-02-01,11054033,11026.0,11,110,1105,11054,0.0,2.0,1.0
2016-02-01,11220016,11106.0,11,112,1122,11220,0.0,2.0,1.0
2016-02-01,11220054,11220054.0,11,112,1122,11220,0.0,2.0,1.0
2016-02-01,11300191,11210.0,11,113,1130,11300,0.0,2.0,1.0
2016-02-01,11302007,11057.0,11,113,1130,11302,0.0,2.0,1.0
2016-02-01,11304005,11057.0,11,113,1130,11304,0.0,2.0,1.0
2016-02-01,11500080,11500080.0,11,115,1150,11500,0.0,2.0,2.0
2016-02-01,11530005,11129.0,11,115,1153,11530,0.0,2.0,1.0
2016-02-01,14002006,14321.0,14,140,1400,14002,0.0,2.0,1.0
2016-02-01,14015049,14759.0,14,140,1401,14015,0.0,2.0,1.0
2016-02-01,14043003,14043003.0,14,140,1404,14043,0.0,2.0,1.0
2016-02-01,14054001,14173.0,14,140,1405,14054,0.0,2.0,1.0
2016-02-01,14054002,14173.0,14,140,1405,14054,0.0,2.0,1.0
2016-02-01,14061000,14044.0,14,140,1406,14061,0.0,2.0,2.0
2016-02-01,14061002,14044.0,14,140,1406,14061,0.0,2.0,1.0
2016-02-01,14073007,14167.0,14,140,1407,14073,0.0,2.0,1.0
2016-02-01,14073020,14372.0,14,140,1407,14073,0.0,2.0,1.0
2016-02-01,14082022,14362.0,14,140,1408,14082,0.0,2.0,1.0
2016-02-01,14091023,14196.0,14,140,1409,14091,0.0,2.0,1.0
2016-02-01,14091041,14233.0,14,140,1409,14091,0.0,2.0,2.0
2016-02-01,14091043,14196.0,14,140,1409,14091,0.0,2.0,1.0
2016-02-01,14092017,14442.0,14,140,1409,14092,0.0,2.0,1.0
2016-02-01,14101045,14092.0,14,141,1410,14101,0.0,2.0,1.0
2016-02-01,14121013,14435.0,14,141,1412,14121,0.0,2.0,1.0
2016-02-01,14200032,14208.0,14,142,1420,14200,0.0,2.0,1.0
2016-02-01,14200040,14208.0,14,142,1420,14200,0.0,2.0,1.0
2016-02-01,14340003,14129.0,14,143,1434,14340,0.0,2.0,2.0
2016-02-01,14401025,14372.0,14,144,1440,14401,0.0,2.0,0.49
2016-02-01,14710026,14160.0,14,147,1471,14710,0.0,2.0,1.0
2016-02-01,14722022,14177.0,14,147,1472,14722,0.0,2.0,3.0
2016-02-01,14723012,14313.0,14,147,1472,14723,0.0,2.0,1.0
2016-02-01,14770018,14121.0,14,147,1477,14770,0.0,2.0,1.0
2016-02-01,14777059,14504.0,14,147,1477,14777,0.0,2.0,2.0
2016-02-01,14800010,14200.0,14,148,1480,14800,0.0,2.0,1.0
2016-02-01,14811002,14098.0,14,148,1481,14811,0.0,2.0,1.0
2016-02-01,14834016,14544.0,14,148,1483,14834,0.0,2.0,2.0
2016-02-01,14835030,14544.0,14,148,1483,14835,0.0,2.0,1.0
2016-02-01,14844009,14579.0,14,148,1484,14844,0.0,2.0,1.0
2016-02-01,14844017,14573.0,14,148,1484,14844,0.0,2.0,1.0
2016-02-01,14846016,14330.0,14,148,1484,14846,0.0,2.0,1.0
2016-02-01,14871000,14126.0,14,148,1487,14871,0.0,2.0,2.0
2016-02-01,14906007,14573.0,14,149,1490,14906,0.0,2.0,1.0
2016-02-01,14920004,14798.0,14,149,1492,14920,0.0,2.0,1.0
2016-02-01,14926002,14798.0,14,149,1492,14926,0.0,2.0,1.0
2016-02-01,14932002,14210.0,14,149,1493,14932,0.0,2.0,1.0
2016-02-01,15000007,15011.0,15,150,1500,15000,0.0,2.0,1.0
2016-02-01,15000021,15045.0,15,150,1500,15000,0.0,2.0,3.0
