,15,22,23,25,27
0.0,3.0,0.306,0.001,0.02,0.002
1.0,0.0,0.005,0.002,8.42,21.0
2.0,1.0,0.91,0.001,0.81,0.322
3.0,1.0,0.3,0.332,0.506,1.3330000000000002
4.0,0.0,0.684,1.0,0.004,0.28
5.0,1.0,0.08199999999999999,0.002,2.105,0.46
6.0,1.0,0.092,0.001,0.024,0.001
7.0,1.0,0.184,0.002,2.083,0.002
8.0,2.0,0.064,0.252,0.004,2.0
9.0,1.0,0.718,0.602,0.003,26.0
10.0,1.0,0.066,0.254,0.504,0.596
11.0,1.0,0.168,0.002,3.0,0.26
12.0,1.0,0.055999999999999994,0.5980000000000001,1.5,2.0
13.0,1.0,0.06,1.65,1.046,1.0
14.0,1.0,1.302,0.002,0.29600000000000004,0.6519999999999999
15.0,2.0,0.092,0.272,1.5,1.0
16.0,1.0,0.5640000000000001,0.46399999999999997,2.0,0.018000000000000002
17.0,1.0,0.82,0.344,2.0,0.27
18.0,1.0,0.212,1.0,2.0,0.48
19.0,1.0,2.752,0.184,1.046,0.003
20.0,1.0,1.0,0.001,0.004,0.006
21.0,1.0,0.07,0.001,0.2,0.001
22.0,0.0,0.28800000000000003,0.001,36.0,19.0
23.0,1.0,1.274,0.466,0.015,0.012
24.0,1.0,0.17,0.4,4.0,0.241
25.0,1.0,0.182,1.0,0.502,2.0
